cont_classification_task_id,classification_task_id,input_assay_id,catalog_assay_id,catalog_task_id,assay_type,variance_quorum_OK,is_auxiliary,use_in_regression,is_binary,threshold,threshold_method,direction,training_quorum_OK,evaluation_quorum_OK,aggregation_weight,weight,num_total_actives,num_fold_min_actives,num_total_inactives,num_fold_min_inactives,n_tasks,retained_tasks,catalog_check_INFO
,1.0,517,,,OTHER,True,True,True,False,6.5,aux_low,high,False,False,0.0,,52.0,5.0,19.0,1.0,1.0,1.0,
0.0,2.0,517,,,OTHER,True,False,True,False,7.0,fixed_adaptive,high,True,False,0.0,1.0,37.0,2.0,34.0,2.0,1.0,1.0,
,3.0,517,,,OTHER,True,True,True,False,7.5,aux_high,high,False,False,0.0,,23.0,2.0,48.0,3.0,1.0,1.0,
1.0,4.0,924,,,OTHER,True,True,True,False,6.5,aux_low,high,True,False,0.0,0.3333333333333333,54.0,1.0,26.0,1.0,3.0,3.0,
2.0,5.0,924,,,OTHER,True,False,True,False,7.0,fixed_adaptive,high,True,False,0.0,0.3333333333333333,42.0,1.0,38.0,1.0,3.0,3.0,
3.0,6.0,924,,,OTHER,True,True,True,False,7.5,aux_high,high,True,False,0.0,0.3333333333333333,30.0,1.0,50.0,1.0,3.0,3.0,
4.0,7.0,1160,,,OTHER,True,True,True,False,6.5,aux_low,high,True,False,0.0,0.5,43.0,2.0,41.0,3.0,2.0,2.0,
5.0,8.0,1160,,,OTHER,True,False,True,False,7.0,fixed_adaptive,high,True,False,0.0,0.5,30.0,0.0,54.0,5.0,2.0,2.0,
,9.0,1160,,,OTHER,True,True,True,False,7.5,aux_high,high,False,False,0.0,,14.0,0.0,70.0,5.0,2.0,2.0,
6.0,10.0,1512,,,OTHER,True,True,True,False,7.5,aux_low,high,True,False,0.0,0.3333333333333333,136.0,7.0,131.0,9.0,3.0,3.0,
7.0,11.0,1512,,,OTHER,True,False,True,False,8.0,fixed_adaptive,high,True,False,0.0,0.3333333333333333,92.0,6.0,175.0,10.0,3.0,3.0,
8.0,12.0,1512,,,OTHER,True,True,True,False,8.5,aux_high,high,True,False,0.0,0.3333333333333333,52.0,3.0,215.0,13.0,3.0,3.0,
,13.0,1520,,,OTHER,True,True,True,False,7.5,aux_low,high,False,False,0.0,,45.0,2.0,24.0,1.0,1.0,1.0,
9.0,14.0,1520,,,OTHER,True,False,True,False,8.0,fixed_adaptive,high,True,False,0.0,1.0,32.0,2.0,37.0,2.0,1.0,1.0,
,15.0,1520,,,OTHER,True,True,True,False,8.5,aux_high,high,False,False,0.0,,19.0,1.0,50.0,3.0,1.0,1.0,
,16.0,2087,,,OTHER,True,True,True,False,7.404999999999999,aux_low,high,False,False,0.0,,48.0,0.0,10.0,0.0,1.0,1.0,
10.0,17.0,2087,,,OTHER,True,False,True,False,7.904999999999999,median,high,True,False,0.0,1.0,29.0,0.0,29.0,0.0,1.0,1.0,
,18.0,2087,,,OTHER,True,True,True,False,8.405,aux_high,high,False,False,0.0,,3.0,0.0,55.0,1.0,1.0,1.0,
,19.0,2432,,,OTHER,True,True,True,False,6.855,aux_low,high,False,False,0.0,,37.0,5.0,16.0,1.0,1.0,1.0,
11.0,20.0,2432,,,OTHER,True,False,True,False,7.355,median,high,True,False,0.0,1.0,28.0,2.0,25.0,3.0,1.0,1.0,
,21.0,2432,,,OTHER,True,True,True,False,7.855,aux_high,high,False,False,0.0,,22.0,1.0,31.0,3.0,1.0,1.0,
12.0,22.0,3891,,,OTHER,True,True,True,False,6.5,aux_low,high,True,False,0.0,0.5,49.0,2.0,28.0,1.0,2.0,2.0,
13.0,23.0,3891,,,OTHER,True,False,True,False,7.0,fixed_adaptive,high,True,False,0.0,0.5,29.0,1.0,48.0,4.0,2.0,2.0,
,24.0,3891,,,OTHER,True,True,True,False,7.5,aux_high,high,False,False,0.0,,5.0,0.0,72.0,5.0,2.0,2.0,
,25.0,3965,,,OTHER,True,True,True,False,4.5,aux_low,high,False,False,0.0,,47.0,1.0,16.0,1.0,1.0,1.0,
14.0,26.0,3965,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,False,0.0,1.0,33.0,0.0,30.0,1.0,1.0,1.0,
,27.0,3965,,,OTHER,True,True,True,False,5.5,aux_high,high,False,False,0.0,,8.0,0.0,55.0,2.0,1.0,1.0,
,28.0,4197,,,OTHER,True,True,True,False,5.5,aux_low,high,False,False,0.0,,47.0,0.0,18.0,1.0,1.0,1.0,
15.0,29.0,4197,,,OTHER,True,False,True,False,6.0,fixed_adaptive,high,True,False,0.0,1.0,30.0,0.0,35.0,1.0,1.0,1.0,
,30.0,4197,,,OTHER,True,True,True,False,6.5,aux_high,high,False,False,0.0,,1.0,0.0,64.0,2.0,1.0,1.0,
16.0,31.0,4202,,,OTHER,True,True,True,False,5.5,aux_low,high,True,False,0.0,0.5,78.0,3.0,35.0,0.0,2.0,2.0,
