cont_classification_task_id,classification_task_id,input_assay_id,catalog_assay_id,catalog_task_id,assay_type,variance_quorum_OK,is_auxiliary,use_in_regression,is_binary,threshold,threshold_method,direction,training_quorum_OK,evaluation_quorum_OK,aggregation_weight,weight,num_total_actives,num_fold_min_actives,num_total_inactives,num_fold_min_inactives,n_tasks,retained_tasks,catalog_check_INFO
,1.0,3,,,ADME,True,False,True,False,3.876148359032913,median,high,False,False,0.0,,599.0,99.0,0.0,0.0,,0.0,
,2.0,7,,,ADME,True,False,True,False,5.4203367399010665,median,high,False,False,0.0,,24.0,1.0,25.0,3.0,,0.0,
,3.0,7,,,ADME,True,False,True,False,6.158049241812748,quartile,high,False,False,0.0,,12.0,0.0,37.0,3.0,,0.0,
0.0,4.0,9,,,ADME,True,False,True,False,5.958607314841776,median,high,True,False,0.0,1.0,29.0,2.0,27.0,0.0,1.0,1.0,
,5.0,9,,,ADME,True,False,True,False,6.427868613119005,quartile,high,False,False,0.0,,14.0,0.0,42.0,1.0,1.0,1.0,
1.0,6.0,11,,,ADME,True,False,True,False,4.2441251443275085,median,high,True,False,0.0,1.0,32.0,3.0,30.0,2.0,1.0,1.0,
,7.0,11,,,ADME,True,False,True,False,4.5571968632008435,quartile,high,False,False,0.0,,16.0,1.0,46.0,3.0,1.0,1.0,
2.0,8.0,13,,,ADME,True,False,True,False,5.480000159330324,median,high,True,False,0.0,1.0,34.0,2.0,31.0,3.0,1.0,1.0,
,9.0,13,,,ADME,True,False,True,False,5.790000026071144,quartile,high,False,False,0.0,,17.0,0.0,48.0,8.0,1.0,1.0,
3.0,10.0,14,,,ADME,True,False,True,False,5.199998172182031,median,high,True,True,1.0,0.5,1430.0,233.0,1387.0,187.0,2.0,2.0,
4.0,11.0,14,,,ADME,True,False,True,False,5.599997654072044,quartile,high,True,True,1.0,0.5,796.0,125.0,2021.0,295.0,2.0,2.0,
,12.0,15,,,ADME,True,False,True,False,3.876148359032913,median,high,False,False,0.0,,599.0,99.0,0.0,0.0,,0.0,
5.0,13.0,16,,,ADME,True,False,True,False,5.0999990348465305,median,high,True,True,1.0,0.5,3145.0,543.0,2937.0,392.0,2.0,2.0,
6.0,14.0,16,,,ADME,True,False,True,False,5.499996931948306,quartile,high,True,True,1.0,0.5,1696.0,274.0,4386.0,678.0,2.0,2.0,
7.0,15.0,20,,,ADME,True,False,True,False,5.04999829469034,median,high,True,True,1.0,0.5,1613.0,274.0,1608.0,260.0,2.0,2.0,
8.0,16.0,20,,,ADME,True,False,True,False,5.499996931948306,quartile,high,True,True,1.0,0.5,970.0,168.0,2251.0,366.0,2.0,2.0,
9.0,17.0,22,,,ADME,True,False,True,False,5.765782023551863,median,high,True,False,0.0,0.5,57.0,7.0,57.0,8.0,2.0,2.0,
10.0,18.0,22,,,ADME,True,False,True,False,6.174067538340035,quartile,high,True,False,0.0,0.5,29.0,2.0,85.0,10.0,2.0,2.0,
,19.0,25,,,NON-CATALOG-PANEL,True,True,True,False,3.6850000000000005,aux_low,high,False,False,0.0,,39.0,2.0,0.0,0.0,1.0,1.0,
11.0,20.0,25,,,NON-CATALOG-PANEL,True,False,True,False,4.1850000000000005,median,high,True,False,0.0,1.0,32.0,2.0,32.0,2.0,1.0,1.0,
,21.0,25,,,NON-CATALOG-PANEL,True,True,True,False,4.6850000000000005,aux_high,high,False,False,0.0,,9.0,0.0,55.0,2.0,1.0,1.0,
12.0,22.0,28,,,ADME,True,False,True,False,5.0999990348465305,median,high,True,True,1.0,0.5,3145.0,543.0,2937.0,392.0,2.0,2.0,
13.0,23.0,28,,,ADME,True,False,True,False,5.499996931948306,quartile,high,True,True,1.0,0.5,1696.0,274.0,4386.0,678.0,2.0,2.0,
,24.0,29,,,ADME,True,False,True,False,4.886056647693163,median,high,False,False,0.0,,14.0,0.0,37.0,3.0,,0.0,
,25.0,29,,,ADME,True,False,True,False,5.712984366136141,quartile,high,False,False,0.0,,7.0,0.0,44.0,4.0,,0.0,
,26.0,30,,,NON-CATALOG-PANEL,True,True,True,False,3.9000000000000004,aux_low,high,False,False,0.0,,212.0,35.0,8.0,0.0,1.0,1.0,
14.0,27.0,30,,,NON-CATALOG-PANEL,True,False,True,False,4.4,fixed_adaptive,high,True,True,1.0,1.0,130.0,18.0,460.0,83.0,1.0,1.0,
,28.0,30,,,NON-CATALOG-PANEL,True,True,True,False,4.9,aux_high,high,False,False,0.0,,17.0,3.0,573.0,99.0,1.0,1.0,
15.0,29.0,31,,,ADME,True,False,True,False,5.102372908709559,median,high,True,False,0.0,1.0,31.0,3.0,28.0,3.0,1.0,1.0,
,30.0,31,,,ADME,True,False,True,False,5.494850021680094,quartile,high,False,False,0.0,,16.0,1.0,43.0,5.0,1.0,1.0,
16.0,31.0,33,,,ADME,True,False,True,False,4.090000008636461,median,high,True,False,0.0,1.0,41.0,1.0,39.0,1.0,1.0,1.0,
,32.0,33,,,ADME,True,False,True,False,4.542499941235484,quartile,high,False,False,0.0,,20.0,0.0,60.0,1.0,1.0,1.0,
,33.0,34,,,ADME,True,False,True,False,5.658763376761308,median,high,False,False,0.0,,2.0,0.0,234.0,8.0,,0.0,
,34.0,34,,,ADME,True,False,True,False,5.737746766539252,quartile,high,False,False,0.0,,1.0,0.0,237.0,8.0,,0.0,
17.0,35.0,35,,,ADME,True,False,True,False,4.011464121546723,median,high,True,True,1.0,0.5,246.0,31.0,368.0,49.0,2.0,2.0,
18.0,36.0,35,,,ADME,True,False,True,False,4.455304753259366,quartile,high,True,True,1.0,0.5,190.0,23.0,424.0,57.0,2.0,2.0,
,37.0,37,,,NON-CATALOG-PANEL,True,True,True,False,4.2,aux_low,high,False,False,0.0,,123.0,11.0,0.0,0.0,2.0,2.0,
19.0,38.0,37,,,NON-CATALOG-PANEL,True,False,True,False,4.7,fixed_adaptive,high,True,False,0.0,0.5,104.0,9.0,296.0,42.0,2.0,2.0,
20.0,39.0,37,,,NON-CATALOG-PANEL,True,True,True,False,5.2,aux_high,high,True,False,0.0,0.5,39.0,2.0,361.0,53.0,2.0,2.0,
,40.0,38,,,ADME,True,False,True,False,4.177178354696896,median,high,False,False,0.0,,19.0,2.0,35.0,3.0,,0.0,
,41.0,38,,,ADME,True,False,True,False,4.494850021680094,quartile,high,False,False,0.0,,10.0,0.0,44.0,4.0,,0.0,
,42.0,39,,,ADME,True,False,True,False,4.943095148663527,median,high,False,False,0.0,,7.0,1.0,88.0,12.0,,0.0,
,43.0,39,,,ADME,True,False,True,False,4.950781977329819,quartile,high,False,False,0.0,,5.0,0.0,90.0,12.0,,0.0,
,44.0,40,,,ADME,True,False,True,False,5.320649098035141,median,high,False,False,0.0,,10.0,0.0,59.0,10.0,,0.0,
,45.0,40,,,ADME,True,False,True,False,5.611216582678815,quartile,high,False,False,0.0,,5.0,0.0,64.0,11.0,,0.0,
,46.0,41,,,ADME,True,False,True,False,4.899629454882437,median,high,False,False,0.0,,33.0,1.0,18.0,2.0,,0.0,
,47.0,41,,,ADME,True,False,True,False,5.177485467639428,quartile,high,False,False,0.0,,13.0,0.0,38.0,5.0,,0.0,
21.0,48.0,54,,,ADME,True,False,True,False,4.7508447231052,median,high,True,False,0.0,1.0,31.0,4.0,183.0,25.0,1.0,1.0,
,49.0,54,,,ADME,True,False,True,False,5.055710192007928,quartile,high,False,False,0.0,,16.0,2.0,198.0,25.0,1.0,1.0,
,50.0,59,,,ADME,True,False,True,False,4.132768285481107,median,high,False,False,0.0,,15.0,1.0,111.0,11.0,,0.0,
,51.0,59,,,ADME,True,False,True,False,4.187567974646749,quartile,high,False,False,0.0,,8.0,1.0,118.0,13.0,,0.0,
,52.0,62,,,ADME,True,False,True,False,3.876148359032913,median,high,False,False,0.0,,611.0,101.0,0.0,0.0,1.0,1.0,
22.0,53.0,62,,,ADME,True,False,True,False,3.9411986541549577,quartile,high,True,True,1.0,1.0,153.0,23.0,458.0,68.0,1.0,1.0,
,54.0,66,,,ADME,True,False,True,False,4.207608310501746,median,high,False,False,0.0,,17.0,0.0,32.0,1.0,,0.0,
,55.0,66,,,ADME,True,False,True,False,4.638272163982408,quartile,high,False,False,0.0,,9.0,0.0,40.0,2.0,,0.0,
,56.0,67,,,ADME,True,False,True,False,5.452225294612178,median,high,False,False,0.0,,45.0,1.0,6.0,0.0,,0.0,
,57.0,67,,,ADME,True,False,True,False,5.8350526273781576,quartile,high,False,False,0.0,,42.0,0.0,9.0,1.0,,0.0,
23.0,58.0,70,,,ADME,True,False,True,False,4.157390760389438,median,high,True,False,0.0,1.0,40.0,1.0,46.0,3.0,1.0,1.0,
,59.0,70,,,ADME,True,False,True,False,4.345459717488018,quartile,high,False,False,0.0,,20.0,1.0,66.0,3.0,1.0,1.0,
24.0,60.0,73,,,ADME,True,False,True,False,4.939302159646386,median,high,True,False,0.0,1.0,28.0,1.0,28.0,1.0,1.0,1.0,
,61.0,73,,,ADME,True,False,True,False,5.187138045237122,quartile,high,False,False,0.0,,14.0,0.0,42.0,2.0,1.0,1.0,
,62.0,74,,,ADME,True,False,True,False,4.248720896016658,median,high,False,False,0.0,,23.0,1.0,53.0,3.0,,0.0,
,63.0,74,,,ADME,True,False,True,False,4.928117992693875,quartile,high,False,False,0.0,,12.0,0.0,64.0,5.0,,0.0,
,64.0,75,,,ADME,True,False,True,False,6.698970004336019,median,high,False,False,0.0,,12.0,0.0,51.0,5.0,,0.0,
,65.0,75,,,ADME,True,False,True,False,7.096910013008058,quartile,high,False,False,0.0,,7.0,0.0,56.0,5.0,,0.0,
,66.0,77,,,ADME,True,False,True,False,5.325958624527541,median,high,False,False,0.0,,6.0,0.0,27.0,2.0,,0.0,
,67.0,77,,,ADME,True,False,True,False,6.0425839270802335,quartile,high,False,False,0.0,,3.0,0.0,30.0,2.0,,0.0,
25.0,68.0,81,,,ADME,True,False,True,False,4.875205171113528,median,high,True,False,0.0,1.0,25.0,2.0,25.0,3.0,1.0,1.0,
,69.0,81,,,ADME,True,False,True,False,5.089432179870941,quartile,high,False,False,0.0,,13.0,0.0,37.0,5.0,1.0,1.0,
,70.0,82,,,ADME,True,False,True,False,3.876148359032913,median,high,False,False,0.0,,561.0,90.0,0.0,0.0,,0.0,
26.0,71.0,83,,,ADME,True,False,True,False,5.602645432377979,median,high,True,False,0.0,1.0,32.0,2.0,32.0,4.0,1.0,1.0,
,72.0,83,,,ADME,True,False,True,False,5.931749681984064,quartile,high,False,False,0.0,,16.0,1.0,48.0,7.0,1.0,1.0,
27.0,73.0,84,,,ADME,True,False,True,False,5.83889035263304,median,high,True,False,0.0,1.0,28.0,1.0,31.0,1.0,1.0,1.0,
,74.0,84,,,ADME,True,False,True,False,6.6020599913279625,quartile,high,False,False,0.0,,16.0,0.0,43.0,2.0,1.0,1.0,
,75.0,85,,,ADME,True,False,True,False,4.24654463722424,median,high,False,False,0.0,,20.0,1.0,32.0,1.0,,0.0,
,76.0,85,,,ADME,True,False,True,False,4.7104093769761874,quartile,high,False,False,0.0,,10.0,0.0,42.0,2.0,,0.0,
,77.0,86,,,NON-CATALOG-PANEL,True,True,True,False,3.9000000000000004,aux_low,high,False,False,0.0,,66.0,7.0,0.0,0.0,2.0,2.0,
28.0,78.0,86,,,NON-CATALOG-PANEL,True,False,True,False,4.4,fixed_adaptive,high,True,False,0.0,0.5,66.0,7.0,245.0,29.0,2.0,2.0,
29.0,79.0,86,,,NON-CATALOG-PANEL,True,True,True,False,4.9,aux_high,high,True,False,0.0,0.5,64.0,7.0,469.0,62.0,2.0,2.0,
,80.0,93,,,ADME,True,False,True,False,4.428291168191311,median,high,False,False,0.0,,23.0,2.0,47.0,5.0,,0.0,
,81.0,93,,,ADME,True,False,True,False,4.962573502059376,quartile,high,False,False,0.0,,12.0,1.0,58.0,6.0,,0.0,
30.0,82.0,96,,,ADME,True,False,True,False,5.978889498804809,median,high,True,False,0.0,1.0,32.0,2.0,32.0,3.0,1.0,1.0,
,83.0,96,,,ADME,True,False,True,False,6.353061048017752,quartile,high,False,False,0.0,,16.0,1.0,48.0,7.0,1.0,1.0,
,84.0,100,,,ADME,True,False,True,False,4.602407705158788,median,high,False,False,0.0,,19.0,2.0,34.0,4.0,,0.0,
,85.0,100,,,ADME,True,False,True,False,4.789297782663489,quartile,high,False,False,0.0,,10.0,0.0,44.0,6.0,,0.0,
31.0,86.0,104,,,ADME,True,False,True,False,4.553076248409514,median,high,True,False,0.0,1.0,46.0,3.0,208.0,29.0,1.0,1.0,
,87.0,104,,,ADME,True,False,True,False,5.067540549910911,quartile,high,False,False,0.0,,23.0,2.0,231.0,31.0,1.0,1.0,
32.0,88.0,107,,,ADME,True,False,True,False,4.409467721600505,median,high,True,False,0.0,1.0,36.0,1.0,35.0,2.0,1.0,1.0,
,89.0,107,,,ADME,True,False,True,False,5.023939365103523,quartile,high,False,False,0.0,,18.0,0.0,53.0,3.0,1.0,1.0,
33.0,90.0,109,,,ADME,True,False,True,False,5.705000764200765,median,high,True,False,0.0,1.0,33.0,1.0,33.0,3.0,1.0,1.0,
,91.0,109,,,ADME,True,False,True,False,6.082500654361473,quartile,high,False,False,0.0,,17.0,0.0,49.0,8.0,1.0,1.0,
,92.0,110,,,NON-CATALOG-PANEL,True,True,True,False,3.1989700043360187,aux_low,high,False,False,0.0,,345.0,46.0,0.0,0.0,1.0,1.0,
,93.0,110,,,NON-CATALOG-PANEL,True,False,True,False,3.6989700043360187,median,high,False,False,0.0,,345.0,46.0,0.0,0.0,1.0,1.0,
34.0,94.0,110,,,NON-CATALOG-PANEL,True,True,True,False,4.198970004336019,aux_high,high,True,True,0.0,1.0,237.0,24.0,498.0,66.0,1.0,1.0,
35.0,95.0,112,,,ADME,True,False,True,False,5.5515264045704935,median,high,True,False,0.0,0.5,54.0,5.0,63.0,8.0,2.0,2.0,
36.0,96.0,112,,,ADME,True,False,True,False,5.923289562435399,quartile,high,True,False,0.0,0.5,27.0,4.0,90.0,10.0,2.0,2.0,
37.0,97.0,115,,,ADME,True,False,True,False,5.199998172182031,median,high,True,True,1.0,0.5,1845.0,303.0,1594.0,216.0,2.0,2.0,
38.0,98.0,115,,,ADME,True,False,True,False,5.699991797446188,quartile,high,True,True,1.0,0.5,945.0,141.0,2494.0,378.0,2.0,2.0,
,99.0,120,,,OTHER,True,True,True,False,4.5,aux_low,high,False,False,0.0,,69.0,2.0,12.0,0.0,2.0,2.0,
39.0,100.0,120,,,OTHER,True,False,True,False,5.0,fixed_adaptive,high,True,False,0.0,0.5,52.0,0.0,30.0,0.0,2.0,2.0,
40.0,101.0,120,,,OTHER,True,True,True,False,5.5,aux_high,high,True,False,0.0,0.5,34.0,0.0,48.0,2.0,2.0,2.0,
,102.0,121,,,OTHER,True,True,True,False,7.16,aux_low,high,False,False,0.0,,37.0,0.0,18.0,0.0,1.0,1.0,
41.0,103.0,121,,,OTHER,True,False,True,False,7.66,median,high,True,False,0.0,1.0,28.0,0.0,27.0,0.0,1.0,1.0,
,104.0,121,,,OTHER,True,True,True,False,8.16,aux_high,high,False,False,0.0,,18.0,0.0,37.0,1.0,1.0,1.0,
