cont_regression_task_id,input_assay_id,assay_type,variance_quorum_OK,is_auxiliary,use_in_regression,expert_threshold_1,expert_threshold_2,expert_threshold_3,expert_threshold_4,expert_threshold_5,direction,training_quorum_OK,evaluation_quorum_OK,evaluation_stdv_quorum_OK,aggregation_weight,weight,censored_weight,fraction_censored
1544.0,1678646,ADME,True,False,True,,,,,,high,True,True,True,1.0,1.0,1.0,0.0
166.0,305428,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,1.0,0.0392156862745098
,425249,ADME,True,False,True,,,,,,high,False,False,True,0.0,1.0,1.0,0.02040816326530612
1272.0,1572745,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,1.0,0.0
239.0,458976,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,1.0,0.017857142857142856
937.0,944913,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,1.0,0.0
974.0,1265866,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,1.0,0.0
542.0,688885,ADME,True,False,True,,,,,,high,True,True,True,1.0,1.0,1.0,0.0
1545.0,1678647,ADME,True,False,True,,,,,,high,True,True,True,1.0,1.0,1.0,0.0
535.0,688839,ADME,True,False,True,,,,,,high,True,True,True,1.0,1.0,1.0,0.0
481.0,688643,ADME,True,False,True,,,,,,high,True,True,True,1.0,1.0,1.0,0.0
365.0,688226,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,1.0,0.0
970.0,993443,NON-CATALOG-PANEL,True,False,True,,,,,,,True,False,False,0.0,1.0,0.08210526315789475,0.390625
480.0,688641,ADME,True,False,True,,,,,,high,True,True,True,1.0,1.0,1.0,0.0
1018.0,1479012,NON-CATALOG-PANEL,True,False,True,,,,,,,True,True,False,0.0,1.0,0.0294403555061797,0.6412859560067682
1029.0,1487572,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,1.0,0.0
,1639945,ADME,True,False,True,,,,,,high,False,False,True,0.0,1.0,0.0006240898689411276,0.98828125
1541.0,1667662,ADME,True,False,True,,,,,,high,True,True,True,1.0,1.0,0.030656538252848628,0.6319218241042345
888.0,817944,NON-CATALOG-PANEL,True,False,True,,,,,,,True,False,False,0.0,1.0,0.02337070112103363,0.6925
897.0,828171,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,0.11455108359133129,0.3148148148148148
1028.0,1487565,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,1.0,0.0
892.0,823822,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,0.22807017543859653,0.1875
1011.0,1463309,ADME,True,False,True,,,,,,high,True,False,True,0.0,1.0,0.05870445344129556,0.4727272727272727
